10um bubble,,duplicate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
355.0040894,0.3439185917,355.0040894,0.3423877954,
354.497345,0.3456088901,354.497345,0.3452577591,
353.9905701,0.3469648957,353.9905701,0.3461813927,
353.4837341,0.3475806713,353.4837341,0.3463921547,
353.0158997,0.3503062129,353.0158997,0.3499048352,
352.5090027,0.352327466,352.5090027,0.3501605093,
352.0020752,0.3528119028,352.0020752,0.3521725535,
351.4951172,0.355642885,351.4951172,0.353618592,
350.9881287,0.3571224511,350.9881287,0.3553213477,
350.4810791,0.3591002226,350.4810791,0.3579745293,
350.013031,0.3605702519,350.013031,0.3590761125,
349.5058899,0.3622491062,349.5058899,0.3606681526,
348.9987793,0.363910377,348.9987793,0.3611241281,
348.4916077,0.3643803,348.4916077,0.3639749289,
347.984436,0.3685877323,347.984436,0.3666076958,
347.5162048,0.3712381721,347.5162048,0.370192945,
347.0089417,0.3744398355,347.0089417,0.3732095957,
346.5015869,0.378736496,346.5015869,0.3769994676,
345.9942627,0.383908838,345.9942627,0.3812812865,
345.4868774,0.3882607222,345.4868774,0.3865219057,
345.0184937,0.3911942542,345.0184937,0.3902750015,
344.5110474,0.395519495,344.5110474,0.3940156698,
344.00354,0.3989826739,344.00354,0.3973409235,
343.4960327,0.4021233022,343.4960327,0.400588572,
342.9884949,0.4072167277,342.9884949,0.4056546092,
342.480896,0.4104817808,342.480896,0.408510685,
342.0123596,0.4149371982,342.0123596,0.4137849808,
341.5046997,0.4218869507,341.5046997,0.4194556773,
340.9969788,0.4271847904,340.9969788,0.4242528975,
340.4892578,0.4348804057,340.4892578,0.4311290681,
339.9815063,0.4411146641,339.9815063,0.4381982386,
339.5127563,0.449447155,339.5127563,0.4463905096,
339.0049438,0.4575957954,339.0049438,0.4549322128,
338.4970398,0.4666697383,338.4970398,0.4634004235,
337.9891663,0.4789122343,337.9891663,0.4748315215,
337.4812622,0.4878582656,337.4812622,0.4841557443,
337.0123596,0.4978316426,337.0123596,0.493383795,
336.504364,0.5124283433,336.504364,0.5083155632,
335.9963379,0.5255056024,335.9963379,0.5216069221,
335.4882507,0.541243732,335.4882507,0.5366767645,
335.0192566,0.5531538725,335.0192566,0.5488324165,
334.5111084,0.5721415877,334.5111084,0.5666177869,
334.0029602,0.5888941884,334.0029602,0.583430171,
333.494751,0.6057262421,333.494751,0.5998926759,
332.9865417,0.6258918643,332.9865417,0.6196624041,
332.5173645,0.639580369,332.5173645,0.6335144043,
332.0090942,0.66080755,332.0090942,0.653783083,
331.5007324,0.6843921542,331.5007324,0.6781076789,
330.9923706,0.7040604353,330.9923706,0.6971867085,
330.4839783,0.7282726169,330.4839783,0.7221086621,
330.0146484,0.7463316321,330.0146484,0.7386824489,
329.5061951,0.7679367661,329.5061951,0.7598767281,
328.9976501,0.7862256765,328.9976501,0.7784913778,
328.4891663,0.8028644919,328.4891663,0.7957539558,
327.9805908,0.8219885826,327.9805908,0.8142225742,
327.5111389,0.8326470256,327.5111389,0.8255956173,
327.0025024,0.8455658555,327.0025024,0.8377941847,
326.4938354,0.8547201753,326.4938354,0.8466143012,
325.9851379,0.8608433604,325.9851379,0.8534558415,
325.5155334,0.8698431253,325.5155334,0.8612607121,
325.0067749,0.8784815669,325.0067749,0.8706012964,
324.4979858,0.8881332874,324.4979858,0.8803789616,
323.9891663,0.8955777287,323.9891663,0.8875485063,
323.5194702,0.9045479298,323.5194702,0.8959669471,
323.0105591,0.918302834,323.0105591,0.9093924761,
322.5016479,0.9272853732,322.5016479,0.9186905026,
321.9927063,0.9377837181,321.9927063,0.928557694,
321.4837036,0.9448270202,321.4837036,0.9355792403,
321.013855,0.9483116865,321.013855,0.9390895367,
